"ID";"Heure";"Valeur"
1002837;0;0,0168336673346693
1002837;1;0,00841683366733467
1002837;2;0,0168336673346693
1002837;3;0,12625250501002
1002837;4;1,8
1002837;5;1,85891783567134
1002837;6;1,77595190380762
1002837;7;0,967935871743487
1002837;8;1,97194388777555
1002837;9;1,06412825651303
1002837;10;2,47454909819639
1002837;11;3,52184368737475
1002837;12;2,83647294589178
1002837;13;1,02324649298597
1002837;14;2,47454909819639
1002837;15;0,580761523046092
1002837;16;0,826052104208417
1002837;17;0,120240480961924
1002837;18;0,328256513026052
1002837;19;0,103406813627255
1002837;20;0,0348697394789579
1002837;21;0,0348697394789579
1002837;22;0,0168336673346693
1002837;23;0,0168336673346693
1004601;0;0,0240408694781128
1004601;1;0,0276469998998297
1004601;2;0,0264449564259241
1004601;3;0,0252429129520184
1004601;4;0,109385956125413
1004601;5;0,161073825503356
1004601;6;0,39427025944105
1004601;7;3,69147550836422
1004601;8;1,99178603626164
1004601;9;1,15275969147551
1004601;10;3,04237203245517
1004601;11;1,08183912651508
1004601;12;1,38956225583492
1004601;13;2,91134929379946
1004601;14;2,1744966442953
1004601;15;3,91745968145848
1004601;16;1,32825803866573
1004601;17;0,336572172693579
1004601;18;0,0865471301212061
1004601;19;0,0240408694781128
1004601;20;0,0240408694781128
1004601;21;0,0276469998998297
1004601;22;0,0240408694781128
1004601;23;0,0276469998998297
1004954;0;0
1004954;1;0
1004954;2;0,020352172394872
1004954;3;0
1004954;4;0
1004954;5;0,136479273706789
1004954;6;0,903875891654612
1004954;7;1,51084950366638
1004954;8;2,32972514590712
1004954;9;2,45183818027635
1004954;10;2,59190901381753
1004954;11;2,89958597296354
1004954;12;1,4485957998703
1004954;13;1,42225769441812
1004954;14;3,39282685688632
1004954;15;2,23873896343593
1004954;16;1,14570758717015
1004954;17;1,50725794383199
1004954;18;0
1004954;19;0
1004954;20;0
1004954;21;0
1004954;22;0
1004954;23;0
1006082;0;0,0888177635527106
1006082;1;0,0816163232646529
1006082;2;0,0816163232646529
1006082;3;0,0888177635527106
1006082;4;0,0816163232646529
1006082;5;0,141628325665133
1006082;6;0,39127825565113
1006082;7;1,42588517703541
1006082;8;2,46769353870774
1006082;9;4,10962192438488
1006082;10;1,08261652330466
1006082;11;2,37407481496299
1006082;12;1,17143428685737
1006082;13;2,11002200440088
1006082;14;6,08281656331266
1006082;15;0,235247049409882
1006082;16;0,405681136227245
1006082;17;1,08261652330466
1006082;18;0,0888177635527106
1006082;19;0,0816163232646529
1006082;20;0,0816163232646529
1006082;21;0,0816163232646529
1006082;22;0,0816163232646529
1006082;23;0,0816163232646529
1014802;0;0,944825171327097
1014802;1;0,926817067680456
1014802;2;0,908808964033815
1014802;3;0,908808964033815
1014802;4;0,908808964033815
1014802;5;1,08408783952779
1014802;6;0,926817067680456
1014802;7;1,00125056275324
1014802;8;1,00125056275324
